ticket_id,fecha_hora,fecha,hora,producto,categoria,cantidad,precio_unitario,total,medio_pago
T-20260425-6418,2026-04-25 12:17:06,2026-04-25,12,Tabla Para Compartir,Comida,3,14900,44700,Credito
T-20260425-6418,2026-04-25 12:17:06,2026-04-25,12,Hamburguesa Clásica,Comida,3,8900,26700,Credito
T-20260425-1317,2026-04-25 19:43:06,2026-04-25,19,Bebida Lata,Bebidas,2,2000,4000,Debito
T-20260425-1317,2026-04-25 19:43:06,2026-04-25,19,Tabla Para Compartir,Comida,1,14900,14900,Debito
T-20260425-1317,2026-04-25 19:43:06,2026-04-25,19,Hamburguesa Clásica,Comida,1,8900,8900,Debito
T-20260425-1251,2026-04-25 18:03:06,2026-04-25,18,Papas Bravas,Comida,3,6500,19500,Debito
T-20260425-5718,2026-04-25 17:03:06,2026-04-25,17,Cerveza IPA,Bebidas,3,4500,13500,Credito
T-20260425-3062,2026-04-25 22:37:06,2026-04-25,22,Tabla Para Compartir,Comida,2,14900,29800,Debito
T-20260425-3062,2026-04-25 22:37:06,2026-04-25,22,Tabla Para Compartir,Comida,2,14900,29800,Debito
T-20260425-6139,2026-04-25 13:37:06,2026-04-25,13,Cerveza IPA,Bebidas,1,4500,4500,Debito
T-20260425-6139,2026-04-25 13:37:06,2026-04-25,13,Cerveza IPA,Bebidas,1,4500,4500,Transferencia
T-20260425-6139,2026-04-25 13:37:06,2026-04-25,13,Hamburguesa Clásica,Comida,3,8900,26700,Credito
T-20260425-3953,2026-04-25 19:40:06,2026-04-25,19,Pisco Sour,Bebidas,2,5500,11000,Credito
T-20260425-9212,2026-04-25 21:26:06,2026-04-25,21,Pisco Sour,Bebidas,2,5500,11000,Debito
T-20260425-9212,2026-04-25 21:26:06,2026-04-25,21,Tabla Para Compartir,Comida,1,14900,14900,Debito
T-20260425-9212,2026-04-25 21:26:06,2026-04-25,21,Papas Bravas,Comida,2,6500,13000,Credito
T-20260425-1540,2026-04-25 23:19:06,2026-04-25,23,Papas Bravas,Comida,2,6500,13000,Debito
T-20260425-1540,2026-04-25 23:19:06,2026-04-25,23,Papas Bravas,Comida,3,6500,19500,Credito
T-20260425-1540,2026-04-25 23:19:06,2026-04-25,23,Pisco Sour,Bebidas,1,5500,5500,Debito
T-20260425-1540,2026-04-25 23:19:06,2026-04-25,23,Pisco Sour,Bebidas,2,5500,11000,Credito
T-20260425-9575,2026-04-25 21:17:06,2026-04-25,21,Bebida Lata,Bebidas,2,2000,4000,Transferencia
T-20260425-6084,2026-04-25 23:34:06,2026-04-25,23,Cerveza IPA,Bebidas,2,4500,9000,Debito
T-20260425-6084,2026-04-25 23:34:06,2026-04-25,23,Tabla Para Compartir,Comida,1,14900,14900,Debito
T-20260425-6913,2026-04-25 20:14:06,2026-04-25,20,Papas Bravas,Comida,2,6500,13000,Debito
T-20260425-6913,2026-04-25 20:14:06,2026-04-25,20,Bebida Lata,Bebidas,1,2000,2000,Debito
T-20260425-6131,2026-04-25 12:22:06,2026-04-25,12,Cerveza IPA,Bebidas,1,4500,4500,Debito
T-20260425-5414,2026-04-25 18:43:06,2026-04-25,18,Pisco Sour,Bebidas,2,5500,11000,Credito
T-20260425-5414,2026-04-25 18:43:06,2026-04-25,18,Bebida Lata,Bebidas,3,2000,6000,Credito
T-20260425-5936,2026-04-25 13:42:06,2026-04-25,13,Hamburguesa Clásica,Comida,2,8900,17800,Debito
T-20260425-5936,2026-04-25 13:42:06,2026-04-25,13,Bebida Lata,Bebidas,2,2000,4000,Credito
T-20260425-5936,2026-04-25 13:42:06,2026-04-25,13,Hamburguesa Clásica,Comida,2,8900,17800,Debito
T-20260425-5936,2026-04-25 13:42:06,2026-04-25,13,Pisco Sour,Bebidas,2,5500,11000,Debito
T-20260425-9637,2026-04-25 22:43:06,2026-04-25,22,Bebida Lata,Bebidas,2,2000,4000,Debito
T-20260425-9637,2026-04-25 22:43:06,2026-04-25,22,Tabla Para Compartir,Comida,3,14900,44700,Efectivo
